"date","XLV_net","XLI_net","XLK_net","XLF_net","XLE_net","XLV_log","XLI_log","XLK_log","XLF_log","XLE_log"
"4/5/2011",-0.00119799344707988,-0.00419617088391885,-0.0061373225930188,-0.00362977447230659,-0.00485316071611299,-0.00119871161486028,-0.00420499951524856,-0.00615623337139176,-0.00363637808826723,-0.00486497554224784
"4/6/2011",0.00239886071357487,0.00447716606591608,0.00578923195677349,0.00607166288746427,0.00912837302578,0.00239598804039121,0.00446717337278798,0.00577253874969424,0.00605330461503802,0.00908696125269357
"4/7/2011",-0.00329045767274901,-0.00734132163978311,-0.000767382991841292,0.00663848516124941,-0.0174720700423321,-0.00329588313336532,-0.007368401758803,-0.000767677580887455,0.00661654745387367,-0.0176265082049428
"4/8/2011",0.00240102040816328,0.00290544102204346,0.00537630547710039,0.000599559009735783,0.00920665898339439,0.00239814256425051,0.00290122838601498,0.00536190473892828,0.000599379346041844,0.00916453604222255
"4/11/2011",0.000598682598881252,-0.0121149061860704,-0.00802142857142851,-0.0125823835124774,-0.00337411909675532,0.000598503459948869,-0.0121888898056125,-0.0080537733130659,-0.0126622120287802,-0.00337982427350703
"4/12/2011",-0.00149608028103412,-0.00959733455597631,-0.00885633457282778,-0.00728157406653521,-0.0312225454545455,-0.00149720052659535,-0.0096436857751122,-0.00889578500070739,-0.00730821412680431,-0.0317203585402025
"4/13/2011",0.00269703334423245,0.003768478935748,0.00271946386946398,0.0103911901332189,-0.01087243047185,0.00269340287600007,0.00376139600800236,0.00271577281786875,0.0103375728288982,-0.0109319672771573
"4/14/2011",-0.00119548718456339,-0.0128720833233552,-0.00387446741086667,-0.0229884971872804,-0.0104683985990161,-0.00119620234940473,-0.0129556464501097,-0.00388199260342334,-0.0232568534030132,-0.0105235777127638
"4/15/2011",0.0110713052705747,0.0076066012603478,0.000388953729636534,0.00309594597015181,0.0150753630623369,0.0110104669979113,0.00757781694403925,0.000388878106743102,0.00309116339794107,0.0149628590599055
"4/18/2011",-0.0026635098353503,-0.0091668913453762,-0.00972006258631659,-0.0148147816053942,-0.00937989814017978,-0.00266706328884647,-0.00920916584265382,-0.00976761075968095,-0.0149256165078659,-0.00942416642353441
"4/19/2011",-0.00296744798316181,-0.00163268027210884,0.00274841000190062,0.00250627281659664,-0.000657588102872379,-0.00297185958655891,-0.0016340145470383,0.00274464002917209,0.00250313735267356,-0.000657804408760923
"4/20/2011",0.0172619653132122,0.0212592537819367,0.0164447135299642,0.00562497754386733,0.0302671806887007,0.0171146702420976,0.0210364283818055,0.0163109635564269,0.00560921643398681,0.0298181673304055
"4/21/2011",0.00526626682270325,0.00854016523778564,0.0154083981282126,0,0.00625875582758008,0.00525244853221814,0.00850390432981137,0.0152908942554855,0,0.00623925115633667
"4/25/2011",-0.00640285196732078,-0.00476316473238515,-0.000379400592587194,-0.00124301164576516,0.00304643314351908,-0.00642343814452286,-0.00477454475250632,-0.000379472583201489,-0.00124378482552158,0.00304180216898921
